ID,lat,lng,Severity,Weather Condition,Visibility (mi),Wind Speed (mph),Precipitation (in),hour,day,month,Description
A-3749015,39.73597,-105.0144,2,Fair,10,5,0,23,22,12,At US-40/CO-33/Colfax Ave/Exit 210 - Accident.
A-3749016,39.56778,-107.52108,2,Fair,10,0,0,23,22,12,At 9th St/Exit 97 - Accident.
A-3749022,39.78395,-105.02839,1,Fair,10,5,0,5,23,12,At Federal Blvd/Exit 272 - Accident.
A-3749029,39.71259,-105.3036,2,Fair,30,0,0,10,23,12,At Genesee Dr/Moss Rock Rd/Exit 253 - Accident.
A-3749040,39.47962,-104.8726,2,Fair,10,10,0,17,23,12,At Castle Pines Pky/Exit 188 - Accident.
A-3749041,39.78009,-104.93226,2,Fair,30,10,0,15,23,12,At Dahlia St/Exit 277 - Accident.
A-3751031,38.93538,-105.19425,2,Fair,10,0,0,6,24,12,At CR-1/Costello Ave - Accident.
A-3751044,39.69794,-104.82915,2,Fair,10,5,0,9,24,12,At Mississippi Ave/Exit 7 - Accident.
A-3751053,39.82731,-104.98285,2,Fair,30,5,0,13,24,12,At I-25 (North) - Accident.
A-3751054,39.59465,-106.25116,2,Fair,10,10,0,13,24,12,At Bighorn Rd/Exit 180 - Accident.
A-3751072,39.6836,-105.08143,3,Fair,10,10,0,22,24,12,Closed between W Florida Ave and CO-8/W Morrison Rd - Road closed due to accident. Construction work.
A-3751073,39.68128,-105.08146,3,Fair,10,10,0,22,24,12,Closed between CO-8/W Morrison Rd and W Florida Ave - Road closed due to accident. Construction work.
A-3751074,38.71525,-104.72687,2,Fair,10,5,0,22,24,12,At CO-16/Exit 132 - Accident.
A-3751834,38.799,-105.12012,2,Fair,10,5,0,7,25,12,At CR-61/Four Mine Rd (North) - Accident.
A-3751835,38.799,-105.12012,2,Fair,10,5,0,7,25,12,At CR-81/Lazy S Ranch Rd - Accident.
A-3751838,39.82354,-104.96412,2,Fair,10,10,0,7,25,12,At I-270/Exit 6 - Accident.
A-3751856,39.65562,-105.00063,2,Fair,10,15,0,12,25,12,At US-285/W Hampden Ave - Accident.
A-3751871,39.47887,-104.8724,2,Fair,10,5,0,19,25,12,At Oak Ln/Exit 190 - Accident.
A-3751872,39.79983,-105.02965,2,Fair,10,5,0,19,25,12,At US-287/Federal Blvd/Exit 3 - Accident.
A-3751873,39.79962,-105.02959,2,Fair,10,5,0,19,25,12,At US-287/Federal Blvd/Exit 3 - Accident.
A-3751874,39.60499,-104.89093,2,Fair,10,10,0,20,25,12,At CO-88/Arapahoe Rd/Exit 197 - Accident.
A-3752657,40.56134,-105.00154,2,Fair,10,5,0,6,26,12,At CO-68/Harmony Rd/Exit 265 - Accident.
A-3752664,38.31592,-104.61543,2,Fair,10,0,0,8,26,12,At US-50/Exit 101 - Accident.
A-3752667,39.77966,-104.97238,2,Fog,0,15,0,8,26,12,At Brighton Blvd/Exit 275 - Accident.
A-3752672,40.08,-104.8488,3,Fog,0,0,0,8,26,12,Closed at County Road 21 - Road closed due to accident.
A-3752673,40.08005,-104.86745,3,Fog,0,0,0,8,26,12,Closed at County Road 23 - Road closed due to accident.
A-3752674,40.08005,-104.86745,3,Fair,5,0,0,10,26,12,Closed at US-85 - Road closed due to accident.
A-3752675,40.08,-104.8488,3,Fair,5,0,0,10,26,12,Closed at CR-19 - Road closed due to accident.
A-3752685,39.72279,-105.01065,2,Fair,5,0,0,11,26,12,At US-6/6th Ave/Exit 209 - Accident.
A-3752690,39.18044,-104.85028,2,Fair,10,5,0,12,26,12,At County Line Rd/Exit 163 - Accident.
A-3752701,39.91227,-104.81958,1,Fair,10,10,0,15,26,12,At CO-2/Exit 16 - Accident. Lane blocked.
A-3754280,40.547,-104.99819,2,Fair,10,0,0,10,27,12,At CO-68/Harmony Rd/Exit 265 - Accident.
A-3754281,40.54706,-104.99789,2,Fair,10,0,0,10,27,12,At Prospect Rd/Exit 268 - Accident.
A-3754291,38.88793,-104.95571,2,Fair,10,5,0,12,27,12,At Chipita Park Rd - Accident.
A-3754292,39.35653,-106.05986,2,Light Snow,0,0,0,12,27,12,At CR-10/Park Hill Rd - Accident.
A-3754307,39.68491,-104.95162,1,Fog,5,5,0,16,27,12,Between CO-2/Colorado Blvd/Exit 204 and Downing St/Exit 206 - Accident. Left lane blocked.
A-3754308,39.74984,-105.01722,2,Fair,10,5,0,15,27,12,At 23rd Ave/Exit 211 - Accident.
A-3754309,39.7595,-105.65402,2,Fair,10,0,0,15,27,12,At US-40/Exit 232 - Accident.
A-3754310,39.75418,-105.65942,2,Light Snow,5,5,0,16,27,12,At US-40/Exit 232 - Multi-vehicle accident involving vehicle.
A-3754313,39.85576,-104.98695,2,Fair,10,5,0,16,27,12,At Thornton Pky/Exit 220 - Accident.
A-3754314,39.75418,-105.65942,1,Light Snow,5,5,0,18,27,12,At US-40/Exit 232 - Multi-vehicle accident involving vehicle.
A-3754315,39.85362,-104.98648,1,Fair,10,5,0,16,27,12,At Thornton Pky/Exit 220 - Accident. Right lane blocked.
A-3754317,39.75418,-105.65942,2,Light Snow,5,5,0,16,27,12,At US-40/Exit 232 - Multi-vehicle accident involving vehicle.
A-3754336,39.66946,-104.82955,2,Fair,5,5,0,21,27,12,At CO-83/Parker Rd/Exit 4 - Accident.
A-3754339,39.88472,-104.98766,2,Fair,5,5,0,22,27,12,At 104th Ave/Exit 221 - Accident.
A-3754341,39.88858,-104.98768,2,Fair,5,5,0,22,27,12,At 104th Ave/Exit 221 - Accident. Two lanes blocked.
A-3754342,39.88858,-104.98768,2,Fair,5,5,0,22,27,12,At 104th Ave/Exit 221 - Accident. Two lanes blocked.
A-3755949,39.63217,-104.90596,2,Light Snow,0,15,0.01,7,28,12,At I-225 - Accident.
A-3755953,39.78924,-104.90619,2,Light Snow,0,20,0,9,28,12,At US-85/CO-2/Vasquez Blvd/Exit 2 - Accident.
A-3755961,40.18388,-108.50728,3,Fair,10,0,0,10,28,12,Closed at Dinosaur - Road closed due to accident.
A-3755962,40.18409,-108.5117,3,Fair,10,0,0,10,28,12,Closed at Rifle - Road closed due to accident.
A-3755963,39.68426,-104.82898,2,Light Snow,5,15,0,11,28,12,At Iliff Ave/Exit 5 - Accident.
A-3755964,39.78376,-105.04457,2,Fair,5,15,0,10,28,12,At Sheridan Blvd/Exit 271 - Accident.
A-3755965,39.67841,-104.82897,2,Light Snow,0,15,0.02,10,28,12,At Iliff Ave/Exit 5 - Accident. Two lanes blocked.
A-3755968,39.78363,-105.03142,2,Fair,5,15,0,10,28,12,At Lowell Blvd/Exit 271 - Accident. Two lanes blocked.
A-3755975,37.95766,-104.79942,2,Fair,10,30,0,14,28,12,At CO-165/Exit 74 - Accident.
A-3755983,39.36824,-104.86484,2,Light Snow,0,40,0,12,28,12,At Wilcox St/Plum Crk Pky/Exit 181 - Accident.
